County,Route System,Centerline Miles,Lane Miles
Otter Tail,5 - Municipal State Aid Street,25.931,56.624
Otter Tail,7 - County Road,132.697,265.395
Otter Tail,8 - Township Road,"2,382.78","4,765.56"
Otter Tail,10 - Municipal Street,224.683,448.009
Otter Tail,15 - State Park Road,20.496,40.993
Otter Tail,18 - Bureau of Fish and Wildlife Road,2.82,5.64
Otter Tail,30 - Alleyway,17.14,34.28
Pennington,2 - US Highway,16.838,34.973
Pennington,3 - MN Highway,60.405,120.812
Pennington,4 - County State Aid Highway,259.543,519.091
Pennington,5 - Municipal State Aid Street,17.238,34.561
Pennington,7 - County Road,369.572,739.143
Pennington,8 - Township Road,339.752,679.504
Pennington,10 - Municipal Street,53.427,106.854
Pennington,13 - Indian Tribe Nation Road,0.207,0.413
Pennington,30 - Alleyway,14.012,28.023
Pine,1 - Interstate,50.125,200.455
Pine,3 - MN Highway,110.809,221.705
Pine,4 - County State Aid Highway,478.858,957.674
Pine,7 - County Road,214.283,428.566
Pine,8 - Township Road,837.518,"1,675.04"
Pine,10 - Municipal Street,138.051,275.992
Pine,13 - Indian Tribe Nation Road,3.721,7.443
Pine,14 - State Forest Road,92.629,185.258
Pine,15 - State Park Road,34.045,68.09
Pine,18 - Bureau of Fish and Wildlife Road,0.128,0.256
Pine,30 - Alleyway,3.839,7.677
Pipestone,2 - US Highway,24.991,49.998
Pipestone,3 - MN Highway,50.53,102.418
Pipestone,4 - County State Aid Highway,241.257,482.514
Pipestone,7 - County Road,23.041,46.081
Pipestone,8 - Township Road,559.215,"1,118.43"
Pipestone,10 - Municipal Street,58.411,116.477
Pipestone,15 - State Park Road,0.94,1.879
Pipestone,17 - Other Federal Agency Road,0.959,1.918
Pipestone,30 - Alleyway,10.415,20.83
Polk,2 - US Highway,154.847,464.756
Polk,3 - MN Highway,109.194,219.446
Polk,4 - County State Aid Highway,803.238,"1,606.48"
Polk,5 - Municipal State Aid Street,29.355,59.085
Polk,7 - County Road,150.215,300.429
Polk,8 - Township Road,"2,218.05","4,436.08"
Polk,10 - Municipal Street,137.835,275.336
Polk,15 - State Park Road,1.733,3.465
Polk,18 - Bureau of Fish and Wildlife Road,6.657,13.313
Polk,30 - Alleyway,27.691,55.383
Pope,3 - MN Highway,123.225,247.991
Pope,4 - County State Aid Highway,296.253,592.506
Pope,7 - County Road,70.543,141.086
Pope,8 - Township Road,699.168,"1,398.34"
Pope,10 - Municipal Street,62.289,124.582
Pope,15 - State Park Road,1.815,3.631
Pope,18 - Bureau of Fish and Wildlife Road,1.661,3.323
Pope,19 - Frontage Road,0.203,0.4
Pope,30 - Alleyway,7.169,14.337
Ramsey,1 - Interstate,51.46,316.555
Ramsey,2 - US Highway,24.824,98.037
Ramsey,52 - Non-numbered US Highway,0.805,2.817
Ramsey,3 - MN Highway,49.092,168.183
Ramsey,53 - Non-numbered MN Highway,0.845,2.727
Ramsey,4 - County State Aid Highway,262.083,717.42
Ramsey,5 - Municipal State Aid Street,339.679,727.652
Ramsey,7 - County Road,17.814,35.628
Ramsey,8 - Township Road,41.986,83.981
Ramsey,10 - Municipal Street,"1,134.43","2,253.69"
Ramsey,16 - Military Road,1.934,4.08
Ramsey,19 - Frontage Road,0.334,0.509
Ramsey,"25 - Local Park, Forest or Reservation Agency Road",3.219,5.97
Ramsey,26 - Other Local Road,0.204,0.407
Ramsey,30 - Alleyway,270.778,541.544
Red Lake,2 - US Highway,14.949,36.59
Red Lake,3 - MN Highway,39.444,78.888
Red Lake,4 - County State Aid Highway,186.615,373.23
Red Lake,7 - County Road,176.315,352.629
Red Lake,8 - Township Road,318.317,636.633
Red Lake,10 - Municipal Street,28.741,57.483
Red Lake,30 - Alleyway,6.294,12.588
Redwood,2 - US Highway,48.916,97.841
Redwood,3 - MN Highway,86.036,172.071
Redwood,4 - County State Aid Highway,388.788,777.744
Redwood,5 - Municipal State Aid Street,10.534,21.067
Redwood,7 - County Road,117.549,235.098
Redwood,8 - Township Road,967.245,"1,934.49"
Redwood,10 - Municipal Street,86.251,172.246
Redwood,13 - Indian Tribe Nation Road,1.95,3.9
Redwood,30 - Alleyway,21.479,42.958
Renville,2 - US Highway,72.954,147.962
Renville,3 - MN Highway,51.58,103.155
Renville,4 - County State Aid Highway,445.131,890.874
Renville,7 - County Road,265.05,530.1
Renville,8 - Township Road,969.922,"1,939.85"
Renville,10 - Municipal Street,94.53,189.059
Renville,15 - State Park Road,0.528,1.055
Renville,30 - Alleyway,20.872,41.744
Rice,1 - Interstate,25.133,100.589
Rice,3 - MN Highway,98.898,215.92
Rice,53 - Non-numbered MN Highway,0.509,0.764
Rice,4 - County State Aid Highway,280.663,565.654
Rice,5 - Municipal State Aid Street,45.121,91.649
Rice,7 - County Road,144.28,288.559
Rice,8 - Township Road,491.011,982.022
Rice,10 - Municipal Street,179.552,357.906
Rice,15 - State Park Road,0.914,1.828
Rice,20 - Other State Agency Road,0.384,0.767
Rice,"25 - Local Park, Forest or Reservation Agency Road",0.652,1.304
Rice,30 - Alleyway,6.987,13.974
Rock,1 - Interstate,20.49,81.96
Rock,2 - US Highway,24.984,49.969
Rock,3 - MN Highway,26.486,52.972
Rock,4 - County State Aid Highway,262.527,525.055
Rock,7 - County Road,57.306,114.611
Rock,8 - Township Road,567.694,"1,135.39"
Rock,10 - Municipal Street,48.537,97.073
Rock,30 - Alleyway,8.84,17.68
Roseau,3 - MN Highway,131.491,262.983
Roseau,4 - County State Aid Highway,481.071,962.142
Roseau,7 - County Road,236.644,473.288
Roseau,8 - Township Road,"1,069.35","2,137.95"
Roseau,9 - Unorganized Territory Road,160.881,321.686
Roseau,10 - Municipal Street,56.098,112.197
Roseau,13 - Indian Tribe Nation Road,0.154,0.308
Roseau,14 - State Forest Road,9.067,18.134
Roseau,15 - State Park Road,2.779,5.557
Roseau,18 - Bureau of Fish and Wildlife Road,5.57,11.141
Roseau,23 - Airport Road,0.694,1.389
Roseau,"25 - Local Park, Forest or Reservation Agency Road",0.424,0.848
Roseau,30 - Alleyway,11.171,22.342
Saint Louis,1 - Interstate,15.96,63.473
Saint Louis,2 - US Highway,221.776,696.025
Saint Louis,52 - Non-numbered US Highway,0.564,1.129
Saint Louis,3 - MN Highway,279.766,633.238
Saint Louis,32 - Former Highway,0.741,1.8
Saint Louis,4 - County State Aid Highway,"1,380.46","2,773.14"
Saint Louis,5 - Municipal State Aid Street,213.398,450.606
Saint Louis,7 - County Road,"1,361.75","2,723.78"
Saint Louis,8 - Township Road,829.063,"1,658.13"
Saint Louis,9 - Unorganized Territory Road,347.156,694.312
Saint Louis,10 - Municipal Street,835.68,"1,668.92"
Saint Louis,11 - National Park Road,3.361,6.723
Saint Louis,12 - National Forest Road,181.146,362.292
Saint Louis,13 - Indian Tribe Nation Road,9.212,18.423
Saint Louis,14 - State Forest Road,48.311,96.623
Saint Louis,15 - State Park Road,8.694,17.389
Saint Louis,23 - Airport Road,0.871,1.728
Saint Louis,24 - Bureau of Indian Affairs Road,2.601,5.202
Saint Louis,"25 - Local Park, Forest or Reservation Agency Road",2.916,5.832
Saint Louis,27 - Railroad Service Road,0.109,0.219
Saint Louis,30 - Alleyway,182.388,364.715
Scott,1 - Interstate,6.024,24.098
Scott,2 - US Highway,31.881,127.549
Scott,3 - MN Highway,53.094,127.389
Scott,32 - Former Highway,1.007,3.781
Scott,4 - County State Aid Highway,227.878,576.439
Scott,5 - Municipal State Aid Street,127.023,284.017
Scott,7 - County Road,80.802,162.006
Scott,8 - Township Road,331.566,663.131
Scott,10 - Municipal Street,494.07,989.594
Scott,13 - Indian Tribe Nation Road,17.938,37.85
Scott,15 - State Park Road,0.586,1.172
Scott,18 - Bureau of Fish and Wildlife Road,1.026,2.051
Scott,"25 - Local Park, Forest or Reservation Agency Road",2.655,5.311
Scott,30 - Alleyway,22.158,44.173
Sherburne,2 - US Highway,58.468,233.824
Sherburne,3 - MN Highway,16.728,34.582
Sherburne,4 - County State Aid Highway,241.279,490.883
Sherburne,5 - Municipal State Aid Street,70.664,153.108
Sherburne,7 - County Road,156.152,312.297
Sherburne,8 - Township Road,503.474,"1,006.97"
Sherburne,10 - Municipal Street,246.924,494.525
Sherburne,14 - State Forest Road,7.579,15.158
Sherburne,18 - Bureau of Fish and Wildlife Road,9.899,19.798
Sherburne,30 - Alleyway,6.406,12.811
Sibley,2 - US Highway,2.454,9.865
Sibley,3 - MN Highway,101.97,203.943
Sibley,32 - Former Highway,0.056,0.095
Sibley,4 - County State Aid Highway,285.665,573.36
Sibley,7 - County Road,95.753,191.507
Sibley,8 - Township Road,585.694,"1,171.39"
Sibley,10 - Municipal Street,65.85,131.7
Sibley,30 - Alleyway,12.442,24.885
Stearns,1 - Interstate,57.662,230.697
Stearns,2 - US Highway,26.321,52.641
Stearns,3 - MN Highway,147.115,385.614
Stearns,53 - Non-numbered MN Highway,0.003,0.006
Stearns,4 - County State Aid Highway,639.016,"1,331.97"
Stearns,5 - Municipal State Aid Street,89.329,216.498
Stearns,7 - County Road,311.91,626.006
Stearns,8 - Township Road,"1,367.22","2,734.44"
Stearns,10 - Municipal Street,599.335,"1,197.87"
Stearns,14 - State Forest Road,1.723,3.446
Stearns,30 - Alleyway,56.95,113.676
Steele,1 - Interstate,24.591,98.364
Steele,2 - US Highway,33.925,103.963
Steele,3 - MN Highway,18.014,36.029
Steele,4 - County State Aid Highway,302.529,613.492
Steele,5 - Municipal State Aid Street,34.452,72.858
Steele,7 - County Road,59.498,118.995
Steele,8 - Township Road,384.416,768.832
Steele,10 - Municipal Street,137.507,274.865
Steele,15 - State Park Road,1.379,2.758
Steele,"25 - Local Park, Forest or Reservation Agency Road",0.339,0.678
Steele,30 - Alleyway,9.209,18.418
Stevens,2 - US Highway,24.381,48.763
Stevens,3 - MN Highway,52.538,105.075
Stevens,4 - County State Aid Highway,243.528,487.055
Stevens,5 - Municipal State Aid Street,8.804,17.609
Stevens,7 - County Road,128.562,257.124
Stevens,8 - Township Road,544.612,"1,089.23"
Stevens,10 - Municipal Street,51.166,102.326
Stevens,18 - Bureau of Fish and Wildlife Road,3.282,6.564
Stevens,30 - Alleyway,13.099,26.199
Swift,2 - US Highway,63.748,127.496
Swift,3 - MN Highway,67.18,134.36
Swift,4 - County State Aid Highway,327.518,655.037
Swift,7 - County Road,131.428,262.855
Swift,8 - Township Road,754.712,"1,509.42"
Swift,10 - Municipal Street,69.872,139.749
Swift,15 - State Park Road,1.138,2.275
Swift,18 - Bureau of Fish and Wildlife Road,0.335,0.671
Swift,"25 - Local Park, Forest or Reservation Agency Road",0.312,0.624
Swift,30 - Alleyway,16.251,32.503
Todd,1 - Interstate,5.873,23.566
Todd,2 - US Highway,61.036,147.521
Todd,3 - MN Highway,73.979,147.956
Todd,4 - County State Aid Highway,410.507,822.247
Todd,7 - County Road,199.422,398.845
Todd,8 - Township Road,"1,037.81","2,075.62"
Todd,10 - Municipal Street,76.39,152.67
Todd,18 - Bureau of Fish and Wildlife Road,0.083,0.166
Todd,30 - Alleyway,14.175,28.349
Traverse,2 - US Highway,31.001,62.003
Traverse,3 - MN Highway,46.479,92.957
Traverse,4 - County State Aid Highway,245.122,490.244
Traverse,7 - County Road,241.187,482.374
Traverse,8 - Township Road,498.201,996.402
Traverse,10 - Municipal Street,29.925,59.85
Traverse,18 - Bureau of Fish and Wildlife Road,0.157,0.314
Traverse,30 - Alleyway,7.104,14.207
Wabasha,2 - US Highway,52.051,144.735
Wabasha,3 - MN Highway,63.297,127.288
Wabasha,4 - County State Aid Highway,273.331,546.661
Wabasha,5 - Municipal State Aid Street,8.234,16.469
Wabasha,7 - County Road,90.994,181.987
Wabasha,8 - Township Road,412.102,824.205
Wabasha,10 - Municipal Street,93.612,186.859
Wabasha,14 - State Forest Road,7.741,15.482
Wabasha,15 - State Park Road,0.699,1.399
Wabasha,18 - Bureau of Fish and Wildlife Road,0.298,0.597
Wabasha,30 - Alleyway,7.286,14.502
Wadena,2 - US Highway,45.203,110.383
Wadena,3 - MN Highway,4.183,8.366
Wadena,4 - County State Aid Highway,235.952,472.605
Wadena,7 - County Road,206.22,412.441
Wadena,8 - Township Road,377.148,754.28
Wadena,10 - Municipal Street,65.815,130.83
Wadena,14 - State Forest Road,8.91,17.82
Wadena,30 - Alleyway,11.592,23.185
Waseca,2 - US Highway,21.559,86.263
Waseca,3 - MN Highway,53.552,107.103
Waseca,4 - County State Aid Highway,266.622,533.243
Waseca,5 - Municipal State Aid Street,7.777,15.554
Waseca,7 - County Road,123.69,247.38
Waseca,8 - Township Road,350.836,701.671
Waseca,10 - Municipal Street,51.516,103.032
Waseca,30 - Alleyway,7.719,15.071
Washington,1 - Interstate,24.894,137.038
Washington,2 - US Highway,30.313,99.357
Washington,3 - MN Highway,64.265,152.431
Washington,32 - Former Highway,0.072,0.332
Washington,4 - County State Aid Highway,235.579,540.377
Washington,5 - Municipal State Aid Street,223.174,512.181
Washington,7 - County Road,55.147,110.668
Washington,8 - Township Road,187.294,374.507
Washington,10 - Municipal Street,"1,169.95","2,340.33"
Washington,15 - State Park Road,5.461,10.966
Washington,19 - Frontage Road,11.113,21.843
Washington,"25 - Local Park, Forest or Reservation Agency Road",1.072,2.141
Washington,30 - Alleyway,8.955,17.76
Watonwan,3 - MN Highway,75.738,212.462
Watonwan,32 - Former Highway,0.131,0.375
Watonwan,4 - County State Aid Highway,233.344,466.683
Watonwan,7 - County Road,123.009,246.017
Watonwan,8 - Township Road,393.895,787.791
Watonwan,10 - Municipal Street,55.335,110.528
Watonwan,"25 - Local Park, Forest or Reservation Agency Road",0.713,1.426
Watonwan,30 - Alleyway,9.882,19.765
Wilkin,1 - Interstate,11.226,44.846
Wilkin,2 - US Highway,46.544,93.911
Wilkin,3 - MN Highway,70.175,140.344
Wilkin,4 - County State Aid Highway,312.313,624.626
Wilkin,7 - County Road,194.118,388.235
Wilkin,8 - Township Road,729.611,"1,460.19"
Wilkin,10 - Municipal Street,47.831,95.662
Wilkin,30 - Alleyway,10.124,20.248
Winona,1 - Interstate,43.914,175.923
Winona,2 - US Highway,57.851,189.59
Winona,3 - MN Highway,59.737,121.718
Winona,32 - Former Highway,0.048,0.231
Winona,53 - Non-numbered MN Highway,0.128,0.242
Winona,4 - County State Aid Highway,312.17,625.211
Winona,5 - Municipal State Aid Street,22.86,52.773
Winona,7 - County Road,67.893,135.786
Winona,8 - Township Road,475.267,950.533
Winona,10 - Municipal Street,185.822,370.608
Winona,14 - State Forest Road,6.032,12.064
Winona,15 - State Park Road,6.345,12.689
Winona,18 - Bureau of Fish and Wildlife Road,0.194,0.389
Winona,30 - Alleyway,19.682,39.363
Wright,1 - Interstate,27.03,127.279
Wright,2 - US Highway,25.738,56.336
Wright,3 - MN Highway,77.497,184.505
Wright,4 - County State Aid Highway,405.491,829.617
Wright,5 - Municipal State Aid Street,100.797,203.897
Wright,7 - County Road,103.083,206.146
Wright,8 - Township Road,889.799,"1,779.60"
Wright,10 - Municipal Street,532.052,"1,063.97"
Wright,15 - State Park Road,2.989,5.979
Wright,18 - Bureau of Fish and Wildlife Road,0.114,0.228
Wright,"25 - Local Park, Forest or Reservation Agency Road",0.32,0.64
Wright,30 - Alleyway,12.735,25.395
Yellow Medicine,2 - US Highway,42.413,85.015
Yellow Medicine,3 - MN Highway,93.313,192.381
Yellow Medicine,53 - Non-numbered MN Highway,0.464,0.929
Yellow Medicine,4 - County State Aid Highway,339.491,678.969
Yellow Medicine,7 - County Road,172.008,344.016
Yellow Medicine,8 - Township Road,783.968,"1,567.94"
Yellow Medicine,10 - Municipal Street,56.183,112.367
Yellow Medicine,13 - Indian Tribe Nation Road,7.114,13.392
Yellow Medicine,15 - State Park Road,4.684,9.368
Yellow Medicine,"25 - Local Park, Forest or Reservation Agency Road",0.162,0.324
Yellow Medicine,30 - Alleyway,14.56,29.119
,Grand Total (static number),"143,112.02","294,303.31"
